PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Upton DPW Water - Wastewater Division,S,West River Well TP,GW,manganese,0.4,TRUE,44.601,MA,2020-02-04
Upton DPW Water - Wastewater Division,S,West River Well TP,GW,manganese,0.4,TRUE,277.95,MA,2020-08-03
Upton DPW Water - Wastewater Division,S,Municipal Well #3 TP,GW,manganese,0.4,TRUE,1.56,MA,2020-02-04
Upton DPW Water - Wastewater Division,S,Municipal Well #3 TP,GW,manganese,0.4,TRUE,5.042,MA,2020-08-03
Uxbridge DPW Water Division,L,Blackstone TP,GW,manganese,0.4,TRUE,2.21,MA,2019-03-26
Uxbridge DPW Water Division,L,Blackstone TP,GW,manganese,0.4,TRUE,204,MA,2019-09-05
Uxbridge DPW Water Division,L,Bernat TP,GW,manganese,0.4,TRUE,7.89,MA,2019-03-26
Uxbridge DPW Water Division,L,Bernat TP,GW,manganese,0.4,TRUE,6.11,MA,2019-09-05
Uxbridge DPW Water Division,L,Rosenfeld TP,GW,manganese,0.4,TRUE,67.6,MA,2019-03-26
Uxbridge DPW Water Division,L,Rosenfeld TP,GW,manganese,0.4,TRUE,57.6,MA,2019-09-05
Webster Water Department,L,Memorial Beach TWF TP Station 1,GU,manganese,0.4,TRUE,97.4,MA,2019-02-19
Webster Water Department,L,Memorial Beach TWF TP Station 1,GU,manganese,0.4,TRUE,91.6,MA,2019-05-06
Webster Water Department,L,Memorial Beach TWF TP Station 1,GU,manganese,0.4,TRUE,63.4,MA,2019-08-13
Webster Water Department,L,Memorial Beach TWF TP Station 1,GU,manganese,0.4,TRUE,18.3,MA,2019-11-13
Webster Water Department,L,Bigelow Road TP Station 3,GW,manganese,0.4,TRUE,60.9,MA,2019-08-13
Westborough Water Department,L,Hopkinton Road Well,GW,manganese,0.4,TRUE,2.23,MA,2020-02-25
Westborough Water Department,L,Morse Street Well,GW,manganese,0.4,TRUE,1.63,MA,2020-02-25
Westborough Water Department,L,Otis Streeet Well TP,GW,manganese,0.4,TRUE,1.23,MA,2020-02-25
Westborough Water Department,L,Fisher Street Water Plant,MX,manganese,0.4,TRUE,44.6,MA,2020-02-25
Westborough Water Department,L,Fisher Street Water Plant,MX,manganese,0.4,TRUE,11.9,MA,2020-05-28
Westborough Water Department,L,Oak Street WTF,GW,manganese,0.4,TRUE,9.09,MA,2020-02-25
Worcester DPW Water Supply Division,L,Worcester Water Filtration Plant,SW,manganese,0.4,TRUE,12.7,MA,2018-05-16
Worcester DPW Water Supply Division,L,Worcester Water Filtration Plant,SW,manganese,0.4,TRUE,50.8,MA,2018-08-15
Worcester DPW Water Supply Division,L,Worcester Water Filtration Plant,SW,manganese,0.4,TRUE,19.2,MA,2018-11-14
Worcester DPW Water Supply Division,L,Worcester Water Filtration Plant,SW,manganese,0.4,TRUE,12.3,MA,2019-02-20
Amesbury DPW Water Division,L,Amesbury WTP,MX,manganese,0.4,TRUE,7.32,MA,2020-01-14
Amesbury DPW Water Division,L,Amesbury WTP,MX,manganese,0.4,TRUE,4.7,MA,2020-04-07
Amesbury DPW Water Division,L,Amesbury WTP,MX,manganese,0.4,TRUE,2.22,MA,2020-07-07
Andover Water Dept.,L,Andover WTP,SW,manganese,0.4,TRUE,127,MA,2018-08-07
Andover Water Dept.,L,Andover WTP,SW,manganese,0.4,TRUE,56.2,MA,2018-11-06
